Contig Number,Accession,Species,Gene ID,Gene Name,E-value
XP_004873113.1,Q92888,Homo sapiens,Arhgef1,Rho guanine nucleotide exchange factor ,0
XP_004873112.1,Q92888,Homo sapiens,Arhgef1,Rho guanine nucleotide exchange factor ,0
XP_004873110.1,Q92888,Homo sapiens,Arhgef1,Rho guanine nucleotide exchange factor ,0
XP_004873106.1,Q5R4P8,Homo sapiens,ZNF574,Zinc finger protein 574 OS=Pongo abelii ,0
XP_004873104.1,P09086,Homo sapiens,POU2F2,"POU domain, class 2, transcription factor ",0
XP_004873102.1,P09086,Homo sapiens,POU2F2,"POU domain, class 2, transcription factor ",0
XP_004873100.1,P09086,Homo sapiens,POU2F2,"POU domain, class 2, transcription factor ",0
XP_004873099.1,P09086,Homo sapiens,POU2F2,"POU domain, class 2, transcription factor ",0
XP_004873098.1,P09086,Homo sapiens,POU2F2,"POU domain, class 2, transcription factor ",0
XP_004873097.1,Q8WXF8,Homo sapiens,Dedd2,DNA-binding death effector domain-containing ,4.00E-141
XP_004873085.1,Q924A2,Homo sapiens,cic,Protein capicua homolog OS=Mus musculus GN=Cic ,1.00E-35
XP_004873084.1,Q15102,Homo sapiens,PAFAH1B3,Platelet-activating factor acetylhydrolase ,2.00E-150
XP_004873083.1,Q15102,Homo sapiens,PAFAH1B3,Platelet-activating factor acetylhydrolase ,2.00E-150
XP_004873082.1,Q15102,Homo sapiens,PAFAH1B3,Platelet-activating factor acetylhydrolase ,2.00E-150
XP_004873081.1,Q15102,Homo sapiens,PAFAH1B3,Platelet-activating factor acetylhydrolase ,2.00E-150
XP_004873080.1,Q15102,Homo sapiens,PAFAH1B3,Platelet-activating factor acetylhydrolase ,2.00E-150
XP_004873075.1,Q8C4U2,Homo sapiens,TMEM145,Transmembrane protein 145 OS=Mus musculus ,0
XP_004873074.1,Q8C4U2,Homo sapiens,TMEM145,Transmembrane protein 145 OS=Mus musculus ,0
XP_004873073.1,Q8C4U2,Homo sapiens,TMEM145,Transmembrane protein 145 OS=Mus musculus ,4.00E-154
XP_004873072.1,Q8C4U2,Homo sapiens,TMEM145,Transmembrane protein 145 OS=Mus musculus ,3.00E-146
XP_004873070.1,Q7Z7M0,Homo sapiens,Megf8,Multiple epidermal growth factor-like domains ,0
XP_004873069.1,Q7Z7M0,Homo sapiens,Megf8,Multiple epidermal growth factor-like domains ,0
XP_004873068.1,Q6PCW6,Homo sapiens,CNFN,Cornifelin OS=Mus musculus GN=Cnfn PE=1 ,2.00E-72
XP_004873064.1,P13688,Homo sapiens,Ceacam1,Carcinoembryonic antigen-related cell adhesion ,7.00E-161
XP_004873063.1,P13688,Homo sapiens,Ceacam1,Carcinoembryonic antigen-related cell adhesion ,9.00E-161
XP_004873062.1,P13688,Homo sapiens,Ceacam1,Carcinoembryonic antigen-related cell adhesion ,0
XP_004873049.1,Q96F63,Homo sapiens,Ccdc97,Coiled-coil domain-containing protein 97 ,1.00E-75
XP_004873048.1,Q96F63,Homo sapiens,Ccdc97,Coiled-coil domain-containing protein 97 ,1.00E-74
XP_004873047.1,Q96F63,Homo sapiens,Ccdc97,Coiled-coil domain-containing protein 97 ,1.00E-102
XP_004873046.1,Q96F63,Homo sapiens,Ccdc97,Coiled-coil domain-containing protein 97 ,2.00E-88
XP_004873040.1,P30530,Homo sapiens,MERTK,Tyrosine-protein kinase receptor UFO OS=Homo ,3.00E-153
XP_004873036.1,P10611,Homo sapiens,Cyp4a10,Cytochrome P450 4A4 OS=Oryctolagus cuniculus ,1.00E-180
XP_004873030.1,Q64462,Homo sapiens,Cyp4b1,Cytochrome P450 4B1 OS=Mus musculus GN=Cyp4b1 ,0
XP_004873028.1,O75071,Homo sapiens,Kiaa0494,EF-hand domain-containing protein KIAA0494 ,0
XP_004873027.1,O75071,Homo sapiens,Kiaa0494,EF-hand domain-containing protein KIAA0494 ,0
XP_004873020.1,Q8NFW5,Homo sapiens,Dmbx1,Diencephalon/mesencephalon homeobox protein ,1.00E-163
XP_004873019.1,Q8NFW5,Homo sapiens,Dmbx1,Diencephalon/mesencephalon homeobox protein ,5.00E-171
XP_004873018.1,O08914,Homo sapiens,FAAH,Fatty-acid amide hydrolase 1 OS=Mus musculus ,0
XP_004873009.1,Q15345,Homo sapiens,LRRC41,Leucine-rich repeat-containing protein ,0
XP_004873008.1,Q15345,Homo sapiens,LRRC41,Leucine-rich repeat-containing protein ,0
XP_004873006.1,Q5RC27,Homo sapiens,TSPAN1,Tetraspanin-1 OS=Pongo abelii GN=TSPAN1 ,7.00E-96
XP_004873005.1,Q5RC27,Homo sapiens,TSPAN1,Tetraspanin-1 OS=Pongo abelii GN=TSPAN1 ,7.00E-96
XP_004873004.1,Q92569,Homo sapiens,PIK3R3,Phosphatidylinositol 3-kinase regulatory ,0
XP_004873003.1,Q6P0Q8,Homo sapiens,Mast2,Microtubule-associated serine/threonine-protein ,0
XP_004873002.1,Q6P0Q8,Homo sapiens,Mast2,Microtubule-associated serine/threonine-protein ,0
XP_004873001.1,Q6P0Q8,Homo sapiens,Mast2,Microtubule-associated serine/threonine-protein ,0
XP_004873000.1,Q3KQJ0,Homo sapiens,TMEM69,Transmembrane protein 69 OS=Mus musculus ,8.00E-118
XP_004872999.1,Q3KQJ0,Homo sapiens,TMEM69,Transmembrane protein 69 OS=Mus musculus ,8.00E-118
XP_004872998.1,Q3KQJ0,Homo sapiens,TMEM69,Transmembrane protein 69 OS=Mus musculus ,8.00E-118
XP_004872997.1,Q3KQJ0,Homo sapiens,TMEM69,Transmembrane protein 69 OS=Mus musculus ,8.00E-118
XP_004921276.1,Q5R9C3,Homo sapiens,GPBP1L1,Vasculin-like protein 1 OS=Pongo abelii ,0
XP_004872991.1,Q96LX7,Homo sapiens,Ccdc17,Coiled-coil domain-containing protein 17 ,1.00E-165
XP_004872990.1,P51635,Homo sapiens,AKR1A1,Alcohol dehydrogenase [NADP+] OS=Rattus norvegicus ,0
XP_004872989.1,P51635,Homo sapiens,AKR1A1,Alcohol dehydrogenase [NADP+] OS=Rattus norvegicus ,0
XP_004872988.1,P51635,Homo sapiens,AKR1A1,Alcohol dehydrogenase [NADP+] OS=Rattus norvegicus ,0
XP_004872987.1,Q63716,Homo sapiens,PRDX2,Peroxiredoxin-1 OS=Rattus norvegicus GN=Prdx1 ,1.00E-65
XP_004872985.1,Q63716,Homo sapiens,PRDX2,Peroxiredoxin-1 OS=Rattus norvegicus GN=Prdx1 ,3.00E-65
XP_004872982.1,Q96S53,Homo sapiens,Tesk2,Dual specificity testis-specific protein ,0
XP_004872981.1,Q96IR7,Homo sapiens,Hpdl,4-hydroxyphenylpyruvate dioxygenase-like ,0
XP_004872975.1,Q9H7M6,Homo sapiens,ZSWIM5,Zinc finger SWIM domain-containing protein ,0
XP_004872971.1,Q8HY31,Homo sapiens,UROD,Uroporphyrinogen decarboxylase OS=Ovis aries ,0
XP_004872970.1,Q9NR50,Homo sapiens,EIF2B3,Translation initiation factor eIF-2B subunit ,0
XP_004872969.1,Q9NR50,Homo sapiens,EIF2B3,Translation initiation factor eIF-2B subunit ,0
XP_004872968.1,Q9NR50,Homo sapiens,EIF2B3,Translation initiation factor eIF-2B subunit ,0
XP_004872960.1,Q8NFU0,Homo sapiens,Best2,Bestrophin-4 OS=Homo sapiens GN=BEST4 PE=2 ,5.00E-169
XP_004872941.1,Q9NPF5,Homo sapiens,Dmap1,DNA methyltransferase 1-associated protein ,0
XP_004872940.1,Q9NPF5,Homo sapiens,Dmap1,DNA methyltransferase 1-associated protein ,0
XP_004872939.1,Q9NPF5,Homo sapiens,Dmap1,DNA methyltransferase 1-associated protein ,0
XP_004872938.1,Q9NPF5,Homo sapiens,Dmap1,DNA methyltransferase 1-associated protein ,0
XP_004872936.1,Q8WV60,Homo sapiens,PTCD2,Pentatricopeptide repeat-containing protein ,0
XP_004872933.1,Q1LZG6,Homo sapiens,CCNB1,G2/mitotic-specific cyclin-B1 OS=Bos taurus ,9.00E-73
XP_004872930.1,A6NHY2,Homo sapiens,ANKDD1A,Ankyrin repeat and death domain-containing ,3.00E-109
XP_004872929.1,Q68FU0,Homo sapiens,TMEM174,Transmembrane protein 174 OS=Rattus norvegicus ,2.00E-124
XP_004872928.1,Q68FU0,Homo sapiens,TMEM174,Transmembrane protein 174 OS=Rattus norvegicus ,1.00E-123
XP_004872927.1,Q68FU0,Homo sapiens,TMEM174,Transmembrane protein 174 OS=Rattus norvegicus ,9.00E-137
XP_004872918.1,Q3SYU7,Homo sapiens,kap104,Transportin-1 OS=Bos taurus GN=TNPO1 PE=2 ,0
XP_004872916.1,Q8N895,Homo sapiens,ZNF710,Zinc finger protein 366 OS=Homo sapiens ,0
XP_004872915.1,Q92552,Homo sapiens,Mrps27,"28S ribosomal protein S27, mitochondrial ",0
XP_004872914.1,Q92552,Homo sapiens,Mrps27,"28S ribosomal protein S27, mitochondrial ",0
XP_004872913.1,Q92552,Homo sapiens,Mrps27,"28S ribosomal protein S27, mitochondrial ",0
XP_004872905.1,O02771,Homo sapiens,SMN1,Survival motor neuron protein OS=Canis familiaris ,2.00E-84
XP_004872902.1,Q13075,Homo sapiens,Naip1,Baculoviral IAP repeat-containing protein ,0
XP_004872900.1,Q13888,Homo sapiens,GTF2H2C,General transcription factor IIH subunit ,0
XP_004872899.1,Q13888,Homo sapiens,GTF2H2C,General transcription factor IIH subunit ,0
XP_004872893.1,Q3UZP0,Homo sapiens,Ocel1,MARVEL domain-containing protein 2 OS=Mus ,2.00E-21
XP_004872892.1,Q3UZP0,Homo sapiens,Ocel1,MARVEL domain-containing protein 2 OS=Mus ,1.00E-21
XP_004872891.1,Q03147,Homo sapiens,CDK7,Cell division protein kinase 7 OS=Mus musculus ,0
XP_004872887.1,P82909,Homo sapiens,MRPS36,"28S ribosomal protein S36, mitochondrial ",4.00E-59
XP_004872886.1,P82909,Homo sapiens,MRPS36,"28S ribosomal protein S36, mitochondrial ",6.00E-62
XP_004872885.1,Q3T0L1,Homo sapiens,GLYCAM1,Centromere protein H OS=Bos taurus GN=CENPH ,3.00E-25
XP_004872883.1,Q9H1H1,Homo sapiens,GTSF1,Gametocyte-specific factor 1-like OS=Homo ,2.00E-13
XP_004872882.1,P23588,Homo sapiens,Eif4b,Eukaryotic translation initiation factor ,7.00E-95
XP_004872875.1,Q8NG95,Homo sapiens,OR7C1,Olfactory receptor 7G3 OS=Homo sapiens ,7.00E-130
XP_004872874.1,Q8NG99,Homo sapiens,OR7G3,Olfactory receptor 7G2 OS=Homo sapiens ,2.00E-139
XP_004872873.1,Q8NG99,Homo sapiens,OR7G1,Olfactory receptor 7G2 OS=Homo sapiens ,2.00E-123
XP_004872872.1,Q8NG99,Homo sapiens,OR7G1,Olfactory receptor 7G2 OS=Homo sapiens ,2.00E-130
XP_004872869.1,Q13522,Homo sapiens,Ppp1r1a,Protein phosphatase 1 regulatory subunit ,1.00E-76
XP_004872867.1,P55160,Homo sapiens,NCKAP1,Nck-associated protein 1-like OS=Homo sapiens ,0
XP_004872866.1,P55160,Homo sapiens,NCKAP1,Nck-associated protein 1-like OS=Homo sapiens ,0
XP_004872865.1,P55160,Homo sapiens,NCKAP1,Nck-associated protein 1-like OS=Homo sapiens ,0
XP_004872858.1,Q96PM9,Homo sapiens,ZNF385D,Zinc finger protein 385A OS=Homo sapiens ,3.00E-35
XP_004872850.1,Q16621,Homo sapiens,Nfe2,Transcription factor NF-E2 45 kDa subunit ,0
XP_004872849.1,Q16621,Homo sapiens,Nfe2,Transcription factor NF-E2 45 kDa subunit ,0
XP_004872848.1,P09651,Homo sapiens,HNRNPA1,Heterogeneous nuclear ribonucleoprotein ,2.00E-140
XP_004872847.1,P09651,Homo sapiens,HNRNPA1,Heterogeneous nuclear ribonucleoprotein ,1.00E-136
XP_004872843.1,Q53HV7,Homo sapiens,Smug1,Single-strand selective monofunctional ,2.00E-142
XP_004872842.1,Q53HV7,Homo sapiens,Smug1,Single-strand selective monofunctional ,2.00E-142
XP_004872841.1,Q53HV7,Homo sapiens,Smug1,Single-strand selective monofunctional ,2.00E-142
XP_004872840.1,Q08624,Homo sapiens,HOXC4,Homeobox protein Hox-C4 OS=Mus musculus ,2.00E-140
XP_004872839.1,P32043,Homo sapiens,HOXC5,Homeobox protein Hox-C5 OS=Mus musculus ,2.00E-135
XP_004872838.1,P10629,Homo sapiens,HOXC6,Homeobox protein Hox-C6 OS=Mus musculus ,3.00E-151
XP_004872837.1,P09025,Homo sapiens,HOXC8,Homeobox protein Hox-C8 OS=Mus musculus ,3.00E-163
XP_004872836.1,P09633,Homo sapiens,HOXC9,Homeobox protein Hox-C9 OS=Mus musculus ,0
XP_004872835.1,P31257,Homo sapiens,HOXC10,Homeobox protein Hox-C10 OS=Mus musculus ,0
XP_004872833.1,Q8K5B8,Homo sapiens,HOXC12,Homeobox protein Hox-C12 OS=Mus musculus ,1.00E-131
XP_004872831.1,Q9P1Z2,Homo sapiens,CALCOCO1,Calcium-binding and coiled-coil domain-containing ,0
XP_004872830.1,Q9P1Z2,Homo sapiens,CALCOCO1,Calcium-binding and coiled-coil domain-containing ,0
XP_004872829.1,Q9P1Z2,Homo sapiens,CALCOCO1,Calcium-binding and coiled-coil domain-containing ,0
XP_004872828.1,Q06055,Homo sapiens,ATP5G2,"ATP synthase lipid-binding protein, mitochondrial ",7.00E-61
XP_004872827.1,Q61990,Homo sapiens,PCBP2,Poly(rC)-binding protein 2 OS=Mus musculus ,0
XP_004872826.1,Q61990,Homo sapiens,PCBP2,Poly(rC)-binding protein 2 OS=Mus musculus ,0
XP_004872824.1,Q61990,Homo sapiens,PCBP2,Poly(rC)-binding protein 2 OS=Mus musculus ,0
XP_004872822.1,Q61990,Homo sapiens,PCBP2,Poly(rC)-binding protein 2 OS=Mus musculus ,0
XP_004872819.1,Q61990,Homo sapiens,PCBP2,Poly(rC)-binding protein 2 OS=Mus musculus ,0
XP_004872806.1,Q16671,Homo sapiens,AMHR2,Anti-Muellerian hormone type-2 receptor ,5.00E-166
XP_004872805.1,Q16671,Homo sapiens,Amhr2,Anti-Muellerian hormone type-2 receptor ,0
XP_004872802.1,Q8VI67,Homo sapiens,SP7,Transcription factor Sp7 OS=Mus musculus ,0
XP_004872801.1,P58742,Homo sapiens,HET-E1,Aladin OS=Mus musculus GN=Aaas PE=1 SV=1,3.00E-11
XP_004872800.1,P58742,Homo sapiens,HET-E1,Aladin OS=Mus musculus GN=Aaas PE=1 SV=1,3.00E-11
XP_004872799.1,P58742,Homo sapiens,HET-E1,Aladin OS=Mus musculus GN=Aaas PE=1 SV=1,3.00E-11
XP_004872798.1,P58742,Homo sapiens,HET-E1,Aladin OS=Mus musculus GN=Aaas PE=1 SV=1,3.00E-11
XP_004872797.1,P58742,Homo sapiens,Aaas,Aladin OS=Mus musculus GN=Aaas PE=1 SV=1,0
XP_004872789.1,Q8HYI9,Homo sapiens,CG7048,Prefoldin subunit 5 OS=Bos taurus GN=PFDN5 ,2.00E-14
XP_004921274.1,P18911,Homo sapiens,RARG,Retinoic acid receptor gamma OS=Mus musculus ,0
XP_004872774.1,O77759,Homo sapiens,SOAT2,Sterol O-acyltransferase 2 OS=Cercopithecus ,0
XP_004872773.1,O77759,Homo sapiens,SOAT2,Sterol O-acyltransferase 2 OS=Cercopithecus ,0
XP_004872771.1,O77759,Homo sapiens,SOAT2,Sterol O-acyltransferase 2 OS=Cercopithecus ,0
XP_004872770.1,P24592,Homo sapiens,IGFBP6,Insulin-like growth factor-binding protein ,5.00E-92
XP_004872769.1,P24592,Homo sapiens,IGFBP6,Insulin-like growth factor-binding protein ,5.00E-93
XP_004872767.1,Q8NCJ5,Homo sapiens,RANBP10,SPRY domain-containing protein 3 OS=Homo ,4.00E-15
XP_004872766.1,Q8NCJ5,Homo sapiens,RANBP10,SPRY domain-containing protein 3 OS=Homo ,4.00E-15
XP_004872765.1,Q63HR2,Homo sapiens,Tenc1,Tensin-like C1 domain-containing phosphatase ,0
XP_004872764.1,Q63HR2,Homo sapiens,Tenc1,Tensin-like C1 domain-containing phosphatase ,0
XP_004872763.1,Q63HR2,Homo sapiens,Tenc1,Tensin-like C1 domain-containing phosphatase ,0
XP_004872762.1,Q63HR2,Homo sapiens,Tenc1,Tensin-like C1 domain-containing phosphatase ,0
XP_004872761.1,Q63HR2,Homo sapiens,Tenc1,Tensin-like C1 domain-containing phosphatase ,0
XP_004872760.1,Q63HR2,Homo sapiens,Tenc1,Tensin-like C1 domain-containing phosphatase ,0
XP_004872736.1,Q6ZPD8,Homo sapiens,DGAT2L6,Diacylglycerol O-acyltransferase 2-like ,0
XP_004872735.1,P46020,Homo sapiens,Phka2,Phosphorylase b kinase regulatory subunit ,0
XP_004872733.1,P46020,Homo sapiens,Phka1,Phosphorylase b kinase regulatory subunit ,0
XP_004872732.1,P46020,Homo sapiens,Phka1,Phosphorylase b kinase regulatory subunit ,0
XP_004872719.1,Q2NKX8,Homo sapiens,ERCC6L,DNA excision repair protein ERCC-6-like ,0
XP_004872718.1,Q9Y237,Homo sapiens,Pin4,Peptidyl-prolyl cis-trans isomerase NIMA-interacting ,3.00E-69
XP_004872717.1,B1AXH1,Homo sapiens,Rgag4,NHS-like protein 2 OS=Mus musculus GN=Nhsl2 ,0
XP_004872711.1,O15294,Homo sapiens,Ogt,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase ,0
XP_004872690.1,Q93074,Homo sapiens,MED12,Mediator of RNA polymerase II transcription ,0
XP_004872686.1,O70493,Homo sapiens,SNX3,Sorting nexin-12 OS=Mus musculus GN=Snx12 ,3.00E-41
XP_004872685.1,O70493,Homo sapiens,SNX3,Sorting nexin-12 OS=Mus musculus GN=Snx12 ,5.00E-45
XP_004872673.1,Q9HCC8,Homo sapiens,Gdpd2,Glycerophosphoinositol inositolphosphodiesterase ,0
XP_004872672.1,Q9HCC8,Homo sapiens,Gdpd2,Glycerophosphoinositol inositolphosphodiesterase ,0
XP_004872671.1,Q9HCC8,Homo sapiens,Gdpd2,Glycerophosphoinositol inositolphosphodiesterase ,0
XP_004872670.1,Q9HCC8,Homo sapiens,Gdpd2,Glycerophosphoinositol inositolphosphodiesterase ,0
XP_004872669.1,Q9HCC8,Homo sapiens,Gdpd2,Glycerophosphoinositol inositolphosphodiesterase ,0
XP_004872668.1,Q9HCC8,Homo sapiens,Gdpd2,Glycerophosphoinositol inositolphosphodiesterase ,0
XP_004872667.1,Q9HCC8,Homo sapiens,Gdpd2,Glycerophosphoinositol inositolphosphodiesterase ,0
XP_004872662.1,Q5DRQ4,Homo sapiens,ARR3,Arrestin-C OS=Spermophilus tridecemlineatus ,0
XP_004872659.1,Q58HT5,Homo sapiens,Awat1,Acyl-CoA wax alcohol acyltransferase 1 ,0
XP_004872658.1,P78318,Homo sapiens,MBD3L4,Immunoglobulin-binding protein 1 OS=Homo ,6.00E-12
XP_004872647.1,Q5RAS5,Homo sapiens,TSPAN6,Tetraspanin-6 OS=Pongo abelii GN=TSPAN6 ,9.00E-167
XP_004872637.1,P33240,Homo sapiens,Cstf2t,Cleavage stimulation factor subunit 2 OS=Homo ,2.00E-30
XP_004872636.1,P33240,Homo sapiens,Cstf2t,Cleavage stimulation factor subunit 2 OS=Homo ,2.00E-27
XP_004872635.1,Q4R5F4,Homo sapiens,TMEM35,Transmembrane protein 35 OS=Macaca fascicularis ,7.00E-93
XP_004872632.1,Q5H9L4,Homo sapiens,TAF7,Transcription initiation factor TFIID subunit ,3.00E-101
XP_004872623.1,Q5H9R4,Homo sapiens,ARMCX3,Armadillo repeat-containing X-linked protein ,2.00E-58
XP_004872622.1,Q5H9R4,Homo sapiens,ARMCX3,Armadillo repeat-containing X-linked protein ,2.00E-58
XP_004872621.1,Q9P291,Homo sapiens,ARMCX1,Armadillo repeat-containing X-linked protein ,0
XP_004872620.1,Q9P291,Homo sapiens,ARMCX1,Armadillo repeat-containing X-linked protein ,0
XP_004872619.1,Q9P291,Homo sapiens,ARMCX1,Armadillo repeat-containing X-linked protein ,0
XP_004872616.1,Q7L311,Homo sapiens,Armcx2,Armadillo repeat-containing X-linked protein ,0
XP_004872615.1,Q7L311,Homo sapiens,Armcx2,Armadillo repeat-containing X-linked protein ,0
XP_004872614.1,Q7L311,Homo sapiens,Armcx2,Armadillo repeat-containing X-linked protein ,0
XP_004872613.1,Q7L311,Homo sapiens,Armcx2,Armadillo repeat-containing X-linked protein ,0
XP_004872611.1,Q969E4,Homo sapiens,TCEAL5,Transcription elongation factor A protein-like ,8.00E-49
XP_004872610.1,Q9GZY0,Homo sapiens,NXF1,Nuclear RNA export factor 2 OS=Homo sapiens ,0
XP_004872607.1,Q8NGX3,Homo sapiens,OR10R2,Olfactory receptor 10T2 OS=Homo sapiens ,4.00E-83
XP_004872606.1,Q8NGX3,Homo sapiens,OR10R2,Olfactory receptor 10T2 OS=Homo sapiens ,3.00E-91
XP_004872605.1,O60412,Homo sapiens,OR7C1,Olfactory receptor 7C2 OS=Homo sapiens ,1.00E-153
XP_004872604.1,O14581,Homo sapiens,OR7A10,Olfactory receptor 7A17 OS=Homo sapiens ,2.00E-128
XP_004872603.1,Q9JHB2,Homo sapiens,OR7A17,Olfactory receptor 19 OS=Mus musculus GN=Olfr19 ,3.00E-155
XP_004872602.1,Q05481,Homo sapiens,ZNF208,Zinc finger protein 91 OS=Homo sapiens ,0
XP_004921270.1,Q4TUC0,Homo sapiens,RTBDN,Retbindin OS=Canis familiaris GN=RTBDN ,1.00E-34
XP_004872578.1,Q9UM47,Homo sapiens,Notch3,Neurogenic locus notch homolog protein ,0
XP_004872577.1,Q6ZW31,Homo sapiens,ABR,Rho GTPase-activating protein SYDE1 OS=Homo ,1.00E-16
XP_004872564.1,Q5REI6,Homo sapiens,ZNF791,Zinc finger protein 791 OS=Pongo abelii ,0
XP_004872563.1,Q5REI6,Homo sapiens,ZNF791,Zinc finger protein 791 OS=Pongo abelii ,0
XP_004872540.1,Q8SQA4,Homo sapiens,Cd97,CD97 antigen OS=Bos taurus GN=CD97 PE=2 ,0
XP_004872528.1,P17612,Homo sapiens,PRKACA,cAMP-dependent protein kinase catalytic ,0
XP_004872527.1,P17612,Homo sapiens,PRKACA,cAMP-dependent protein kinase catalytic ,0
XP_004872526.1,A6NJJ6,Homo sapiens,Palm3,UPF0575 protein C19orf67 OS=Homo sapiens ,2.00E-114
XP_004872519.1,P22670,Homo sapiens,RFX3,MHC class II regulatory factor RFX1 OS=Homo ,0
XP_004872517.1,P22670,Homo sapiens,RFX3,MHC class II regulatory factor RFX1 OS=Homo ,0
XP_004872513.1,Q66K64,Homo sapiens,Cc2d1a,DDB1- and CUL4-associated factor 15 OS=Homo ,0
XP_004872511.1,Q6P1N0,Homo sapiens,Cc2d1a,Coiled-coil and C2 domain-containing protein ,0
XP_004872510.1,Q6P1N0,Homo sapiens,Cc2d1a,Coiled-coil and C2 domain-containing protein ,0
XP_004872509.1,Q6P1N0,Homo sapiens,Cc2d1a,Coiled-coil and C2 domain-containing protein ,0
XP_004872508.1,Q6P3Y9,Homo sapiens,PODNL1,Podocan-like protein 1 OS=Mus musculus ,0
XP_004872499.1,Q9H7M6,Homo sapiens,Zswim4,Zinc finger SWIM domain-containing protein ,0
XP_004872493.1,P13994,Homo sapiens,CCDC130,Coiled-coil domain-containing protein 130 ,0
XP_004872492.1,P13994,Homo sapiens,CCDC130,Coiled-coil domain-containing protein 130 ,0
XP_004872491.1,O00555,Homo sapiens,Cacna1a,Voltage-dependent P/Q-type calcium channel ,0
XP_004872490.1,O00555,Homo sapiens,Cacna1a,Voltage-dependent P/Q-type calcium channel ,0
XP_004872489.1,O00555,Homo sapiens,Cacna1a,Voltage-dependent P/Q-type calcium channel ,0
XP_004872488.1,O00555,Homo sapiens,Cacna1a,Voltage-dependent P/Q-type calcium channel ,0
XP_004872487.1,O00555,Homo sapiens,Cacna1a,Voltage-dependent P/Q-type calcium channel ,0
XP_004872486.1,O00555,Homo sapiens,Cacna1a,Voltage-dependent P/Q-type calcium channel ,0
XP_004872485.1,Q9BTL4,Homo sapiens,Ier2,Immediate early response gene 2 protein ,4.00E-68
XP_004872482.1,Q9NXH9,Homo sapiens,Trmt1,"N(2),N(2)-dimethylguanosine tRNA methyltransferase ",0
XP_004872481.1,Q9NXH9,Homo sapiens,Trmt1,"N(2),N(2)-dimethylguanosine tRNA methyltransferase ",0
XP_004872480.1,Q9NXH9,Homo sapiens,Trmt1,"N(2),N(2)-dimethylguanosine tRNA methyltransferase ",0
XP_004872479.1,P13623,Homo sapiens,NFIX,Nuclear factor 1 X-type OS=Mesocricetus ,0
XP_004872469.1,Q8TAE8,Homo sapiens,GADD45GIP1,Growth arrest and DNA damage-inducible ,3.00E-53
XP_004872468.1,P54725,Homo sapiens,Rad23a,UV excision repair protein RAD23 homolog ,1.00E-164
XP_004872467.1,P54725,Homo sapiens,Rad23a,UV excision repair protein RAD23 homolog ,1.00E-127
XP_004872466.1,P54725,Homo sapiens,Rad23a,UV excision repair protein RAD23 homolog ,0
XP_004872465.1,P54725,Homo sapiens,Rad23a,UV excision repair protein RAD23 homolog ,0
XP_004872464.1,P54725,Homo sapiens,Rad23a,UV excision repair protein RAD23 homolog ,0
XP_004872459.1,Q6PIF2,Homo sapiens,Syce2,Synaptonemal complex central element protein ,2.00E-65
XP_004872458.1,Q6PIF2,Homo sapiens,Syce2,Synaptonemal complex central element protein ,1.00E-59
XP_004872455.1,P56542,Homo sapiens,DNASE2,Deoxyribonuclease-2-alpha OS=Mus musculus ,1.00E-162
XP_004872454.1,P56542,Homo sapiens,DNASE2,Deoxyribonuclease-2-alpha OS=Mus musculus ,8.00E-174
XP_004872453.1,P56542,Homo sapiens,DNASE2,Deoxyribonuclease-2-alpha OS=Mus musculus ,2.00E-173
XP_004872448.1,Q9Y2H9,Homo sapiens,Mast1,Microtubule-associated serine/threonine-protein ,0
XP_004872447.1,Q9Y2H9,Homo sapiens,Mast1,Microtubule-associated serine/threonine-protein ,0
XP_004872446.1,Q9Y2H9,Homo sapiens,Mast1,Microtubule-associated serine/threonine-protein ,0
XP_004872445.1,Q9Y2H9,Homo sapiens,Mast1,Microtubule-associated serine/threonine-protein ,0
XP_004872436.1,Q99LG2,Homo sapiens,TNPO1,Transportin-2 OS=Mus musculus GN=Tnpo2 ,0
XP_004872429.1,Q9BRX9,Homo sapiens,Morg1,Mitogen-activated protein kinase organizer ,0
XP_004872426.1,Q8VHC8,Homo sapiens,MAN2B1,Lysosomal alpha-mannosidase OS=Cavia porcellus ,0
XP_004872425.1,Q8VHC8,Homo sapiens,MAN2B1,Lysosomal alpha-mannosidase OS=Cavia porcellus ,0
XP_004872424.1,Q8VHC8,Homo sapiens,MAN2B1,Lysosomal alpha-mannosidase OS=Cavia porcellus ,0
XP_004872423.1,Q8VHC8,Homo sapiens,MAN2B1,Lysosomal alpha-mannosidase OS=Cavia porcellus ,0
XP_004872422.1,Q8VHC8,Homo sapiens,MAN2B1,Lysosomal alpha-mannosidase OS=Cavia porcellus ,0
XP_004872421.1,Q8VHC8,Homo sapiens,MAN2B1,Lysosomal alpha-mannosidase OS=Cavia porcellus ,0
XP_004872420.1,Q8VHC8,Homo sapiens,MAN2B1,Lysosomal alpha-mannosidase OS=Cavia porcellus ,0
XP_004872419.1,Q8VHC8,Homo sapiens,MAN2B1,Lysosomal alpha-mannosidase OS=Cavia porcellus ,0
XP_004872418.1,Q8VHC8,Homo sapiens,MAN2B1,Lysosomal alpha-mannosidase OS=Cavia porcellus ,0
XP_004872417.1,Q6ZS10,Homo sapiens,CLEC4M,C-type lectin and transmembrane domain-containing ,1.00E-30
XP_004872415.1,Q8N813,Homo sapiens,NBEA,Putative uncharacterized protein C3orf56 ,0
